City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,port lincoln,-34.7333,135.8667,284.35,60,30,3.98,AU,1722447906
179,greymouth,-42.4667,171.2,275.41,82,85,5.51,NZ,1722447907
180,coquimbo,-29.9533,-71.3436,286.0,87,100,4.12,CL,1722447811
181,fort st. john,56.2499,-120.8529,287.09,77,75,7.72,CA,1722447909
182,bogande,12.9714,-0.1436,303.53,57,94,6.12,BF,1722447910
183,okha,53.5739,142.9478,285.14,96,69,4.24,RU,1722447911
184,terra santa,-2.1042,-56.4869,311.07,24,11,3.55,BR,1722447913
185,codrington,-38.2667,141.9667,278.13,75,84,3.42,AU,1722447669
186,mejit,10.2753,170.8646,301.09,79,10,6.11,MH,1722447915
187,yarim,14.298,44.3779,288.24,72,89,1.33,YE,1722447916
188,aripuana,-9.1667,-60.6333,310.9,18,0,1.84,BR,1722447647
189,carutapera,-1.195,-46.02,303.15,58,9,5.59,BR,1722447918
190,alindao,5.0267,21.2088,296.39,88,94,0.78,CF,1722447919
191,nova vicosa,-17.8919,-39.3719,296.7,83,13,5.88,BR,1722447921
192,viedma,-40.8135,-62.9967,290.22,29,100,6.88,AR,1722447628
193,keetmanshoop,-26.5833,18.1333,286.3,21,0,2.94,NA,1722447924
194,rio grande,-32.035,-52.0986,295.21,74,36,5.11,BR,1722447666
195,formosa do rio preto,-11.0483,-45.1931,306.49,23,0,4.03,BR,1722447926
196,mbaiki,3.8678,17.9892,298.42,64,95,0.98,CF,1722447927
197,narvik,68.4384,17.4272,290.58,86,73,1.48,NO,1722447928
198,tomatlan,19.9333,-105.25,301.2,77,98,0.3,MX,1722447929
199,hammerfest,70.6634,23.6821,289.4,72,0,8.23,NO,1722447930
200,copala,16.65,-98.9833,302.5,65,100,2.07,MX,1722447932
201,hithadhoo,-0.6,73.0833,301.9,81,92,6.31,MV,1722447933
202,east london,-33.0153,27.9116,285.67,66,0,6.69,ZA,1722447934
203,tara,56.8944,74.371,289.51,94,61,1.78,RU,1722447935
204,sandnessjoen,66.0217,12.6316,288.44,82,75,5.66,NO,1722447936
205,papao,-17.75,-149.55,294.97,60,52,7.83,PF,1722447937
206,svetlyy,54.675,20.1347,293.18,75,88,3.16,RU,1722447938
207,kapa'a,22.0752,-159.319,298.33,82,40,5.14,US,1722447939
208,rawson,-43.3002,-65.1023,288.91,29,100,4.29,AR,1722447941
209,berezovo,63.9381,65.0419,288.89,74,62,2.01,RU,1722447942
210,isabela,6.7085,121.9711,298.85,86,78,1.32,PH,1722447943
211,sola,-13.8833,167.55,298.95,70,22,8.46,VU,1722447944
212,filadelfia,39.9523,-75.1638,305.75,64,75,5.14,US,1722447847
213,enewetak,11.3474,162.3373,301.7,76,28,4.89,MH,1722447946
214,feodosiya,45.0333,35.3833,296.79,66,53,4.08,UA,1722447947
215,silute,55.3489,21.4831,290.45,81,63,4.02,LT,1722447948
216,cockburn town,21.4612,-71.1419,301.73,82,1,8.35,TC,1722447949
217,sarangani,5.4033,125.4636,301.75,75,83,3.29,PH,1722447951
218,bocas del toro,9.3333,-82.25,298.18,92,82,4.53,PA,1722447952
219,al wajh,26.2455,36.4525,306.12,66,0,2.06,SA,1722447953
220,bayanhongor,46.7167,100.1167,284.67,90,100,0.58,MN,1722447954
221,ciudad lazaro cardenas,17.9583,-102.2,305.55,54,82,3.71,MX,1722447803
222,port elizabeth,-33.918,25.5701,286.31,80,0,6.69,ZA,1722447956
223,saint-pierre,-21.3393,55.4781,292.97,73,0,2.57,RE,1722447958
224,laguna,38.421,-121.4238,302.21,50,0,2.06,US,1722447959
225,tongchuanshi,35.0806,109.0897,296.78,68,82,0.93,CN,1722447960
226,susuman,62.7833,148.1667,276.83,79,100,2.66,RU,1722447961
227,saint-philippe,-21.3585,55.7679,292.92,75,33,2.25,RE,1722447962
228,pagar alam,-4.0167,103.2667,293.13,84,32,1.19,ID,1722447964
229,bathsheba,13.2167,-59.5167,304.49,70,20,3.09,BB,1722447965
230,aginskoye,51.1,114.53,287.88,82,9,1.95,RU,1722447966
231,tindouf,27.6711,-8.1474,318.4,7,40,3.09,DZ,1722447968
232,ketchikan,55.3422,-131.6461,288.9,94,100,4.63,US,1722447969
233,katutura,-22.521,17.0557,284.84,14,0,3.05,NA,1722447970
234,kismayo,-0.3582,42.5454,298.24,82,52,7.48,SO,1722447972
235,kirakira,-10.4544,161.9205,298.35,87,100,3.77,SB,1722447973
236,rongelap,11.1635,166.8941,301.16,80,82,7.14,MH,1722447974
237,chonchi,-42.6128,-73.8092,284.88,90,100,6.29,CL,1722447975
238,palikir - national government center,6.9248,158.1611,297.56,94,40,2.06,FM,1722447977
239,ellsworth,44.5434,-68.4195,298.31,86,100,6.17,US,1722447978
240,menongue,-14.6585,17.691,292.37,18,59,1.32,AO,1722447979
241,el tarf,36.7672,8.3138,303.02,33,0,1.3,DZ,1722447980
242,puerto ayora,-0.7393,-90.3518,299.13,87,99,5.07,EC,1722447981
243,tsiombe,-25.3,45.4833,289.88,70,0,1.59,MG,1722447983
244,prado,-17.3411,-39.2208,298.58,67,18,4.38,BR,1722447984
245,nova sintra,14.8667,-24.7167,298.38,75,18,5.68,CV,1722447987
246,quellon,-43.1167,-73.6167,283.0,82,100,13.68,CL,1722447988
247,catia la mar,10.6038,-67.0303,307.26,61,20,2.06,VE,1722447989
248,yuzhno-kurilsk,44.0306,145.8556,287.18,96,36,1.04,RU,1722447990
249,karratha,-20.7377,116.8463,295.31,56,70,2.97,AU,1722447991
250,taro,-8.3862,115.28,295.15,100,54,0.31,ID,1722447992
251,palmer,42.1584,-72.3287,302.17,56,75,6.69,US,1722447993
252,lumajang,-8.1335,113.2248,295.52,96,24,0.47,ID,1722447995
253,columbia falls,48.3725,-114.1815,297.49,62,0,4.12,US,1722447997
254,abepura,-2.6333,140.5833,296.6,100,20,0.51,ID,1722447998
255,remire-montjoly,4.9167,-52.2667,305.17,58,4,5.14,GF,1722447999
256,port alfred,-33.5906,26.891,283.81,84,0,0.89,ZA,1722447655
257,bonthe,7.5264,-12.505,298.91,85,88,5.25,SL,1722448001
258,pimentel,-6.8367,-79.9342,293.31,77,100,7.2,PE,1722448003
259,hakha,22.65,93.6167,291.96,100,100,0.53,MM,1722448004
260,chicoana,-25.1009,-65.5331,295.4,24,41,2.61,AR,1722448005
261,sona,45.4388,10.8255,305.9,52,0,1.03,IT,1722448006
262,aksu,41.1231,80.2644,300.06,46,84,5.69,CN,1722448008
263,leua,48.2156,18.6071,299.58,31,35,0.93,SK,1722448009
264,papatowai,-46.5619,169.4708,278.29,75,84,1.2,NZ,1722447642
265,tidjikja,18.5564,-11.4271,311.1,22,12,5.85,MR,1722448011
266,barentu,15.1139,37.5928,296.03,80,98,4.77,ER,1722448013
267,huaicheng,23.9051,112.1931,297.71,98,68,0.84,CN,1722448014
268,pemba,-12.974,40.5178,299.54,78,20,5.81,MZ,1722448015
269,saint croix,17.7397,-64.7388,303.68,74,20,3.6,VI,1722448016
270,natal,-5.795,-35.2094,303.51,61,20,9.26,BR,1722447851
271,masterton,-40.9597,175.6575,280.31,94,100,5.33,NZ,1722448018
272,karatau,43.1667,70.4667,301.38,24,0,4.27,KZ,1722448019
273,olias del rey,39.9444,-3.9868,310.34,11,0,6.6,ES,1722448020
274,panamaram,11.7404,76.0738,293.57,99,100,1.48,IN,1722448022
275,bubaque,11.2833,-15.8333,299.56,80,82,7.84,GW,1722448023
276,campbell river,50.0163,-125.2446,294.04,77,75,0.0,CA,1722448024
277,camiri,-20.05,-63.5167,300.03,41,1,5.14,BO,1722448025
278,gaffney,35.0718,-81.6498,306.27,40,24,1.68,US,1722448008
279,chavusy,53.8075,30.9712,289.45,77,33,3.58,BY,1722448027
280,darjiling,27.0333,88.2667,291.5,97,93,1.13,IN,1722448029
281,yibin,28.7667,104.6238,298.19,93,3,0.44,CN,1722448030
